prompt,conditioned_object,conditioned_image_path,conditioned_prompt,gamma
"An astronaut floating in space against a starry background, wearing a detailed white spacesuit with NASA insignia, Earth visible in the distance",astronaut,"assets/robot.jpg","the condition is a robot", 2
"An astronaut floating in space against a starry background, wearing a detailed white spacesuit with NASA insignia, Earth visible in the distance",astronaut,"assets/cats.jpg","the condition is a cat", 1.5
"An astronaut floating in space against a starry background, wearing a detailed white spacesuit with NASA insignia, Earth visible in the distance",astronaut,"assets/penguin.jpg","the condition is a penguin",2
"A superhero in a dynamic pose against a city skyline, cape flowing in the wind",superhero,"assets/eagle.jpg","the condition is an eagle",2
"A ballet dancer performing on stage under dramatic lighting, wearing a flowing tutu",dancer,"assets/panda.jpg","the condition is a panda",1.2
"A musician playing a grand piano in a concert hall",musician,"assets/lemon.jpg","the condition is a lemon",2
"A firefighter in full gear, standing in front of a burning building",firefighter,"assets/heli.jpg","the condition is a helicopter",2
"A deep-sea diver exploring a coral reef, surrounded by colorful fish",diver,"assets/pineapple.jpg","the condition is a pineapple",2
"A construction worker operating heavy machinery at a building site",worker,"assets/car.jpg","the condition is a car",1.5
"A cute teddy bear with soft brown fur and a red bow tie",teddy,"assets/hamster.jpg","the condition is a hamster",2
"A majestic eagle soaring through the sky with its wings spread wide",eagle,"assets/eagle.jpg","the condition is an eagle",2
"A brown bear walking through a forest, with sunlight filtering through the trees",bear,"assets/cats.png","the condition is a cat",2
"A black swan gliding gracefully across a serene lake at sunset",blackswan,"assets/eagle.jpg","the condition is an eagle",0.8
"A white boat sailing across calm ocean waters under a clear blue sky",boat,"assets/heli.jpg","the condition is a helicopter",2
"A breakdancer performing dynamic moves on a city street",breakdance,"assets/robot.jpg","the condition is a robot",2
"A majestic camel walking across a desert landscape",camel,"assets/horse.jpg","the condition is a horse",2
"A cow with a bell grazing in a green pasture",cows,"assets/sheep.jpg","the condition is a sheep",2
"A golden retriever running through a field of flowers",dog,"assets/wolf.jpg","the condition is a wolf",2
"A drift car sliding through a chicane on a racetrack",drift-chicane,"assets/racecar.jpg","the condition is a race car",2
"An elephant walking through tall grass in the savanna",elephant,"assets/rhino.jpg","the condition is a rhino",2
"A flamingo standing in shallow water at sunset",flamingo,"assets/duck.jpg","the condition is a duck",2
"A goat climbing on rocky terrain in the mountains",goat,"assets/deer.jpg","the condition is a deer",2
"A mallard duck flying across a sunset sky",mallard-fly,"assets/eagle.jpg","the condition is an eagle",2
"A rhino walking through the African savanna",rhino,"assets/elephant.jpg","the condition is an elephant",2
"A person rollerblading through a city park",rollerblade,"assets/skater.jpg","the condition is a figure skater",2
"A surfer riding a wave at sunset",surf,"assets/kayak.jpg","the condition is a kayak",2
"A beautiful lavender field stretching to the horizon at sunset",lavender,"assets/rose.jpg","the condition is a rose",2
"A blooming rose garden in full color under morning sunlight",rose,"assets/lavender.jpg","the condition is lavender",2
"A bright yellow lemon tree in a Mediterranean garden",lemon,"assets/orange.jpg","the condition is an orange",2
"A playful squirrel gathering nuts in an autumn forest",squirrel,"assets/hamster.jpg","the condition is a hamster",2
"A majestic cattle herd grazing in a vast meadow",cattle,"assets/horse.jpg","the condition is a horse",2
"A colorful tropical fish swimming in a coral reef",fish,"assets/dolphin.jpg","the condition is a dolphin",2
"A powerful shark gliding through deep blue waters",shark,"assets/dolphin.jpg","the condition is a dolphin",2
"A sleek airplane soaring through cloudy skies",airplane,"assets/heli.jpg","the condition is a helicopter",2
"A vintage bicycle leaning against a rustic brick wall",bicycle,"assets/motorcycle.jpg","the condition is a motorcycle",2
"A modern ship crossing the ocean at sunset",ship,"assets/sailboat.jpg","the condition is a sailboat",2
"An elegant wooden chair in a sunlit room",chair,"assets/sofa.jpg","the condition is a sofa",2
"A modern desk setup in a minimalist office space",desk,"assets/table.jpg","the condition is a table",2
